K: 0	T: 1	E: 0.619187	S: ipunagrzkomxlvqfwyhdebtsc	Time: 2ms
K: 600000	T: 0.4	E: 0.856043	S: cuzopqmsfhdlgwkvrbnaetxyi	Time: 634416ms
K: 610000	T: 0.39	E: 0.892602	S: bypnfzcriwxavgdheolsktumq	Time: 644985ms
K: 620000	T: 0.38	E: 0.894201	S: rcmhbzfdtkswnapqlxieyvuog	Time: 655567ms
K: 630000	T: 0.37	E: 0.864266	S: ogrifqnabhtywvpduzselkxcm	Time: 666164ms
K: 640000	T: 0.36	E: 0.958631	S: puaybwzkmxivhrsclnodtfgeq	Time: 676754ms
K: 650000	T: 0.35	E: 0.893172	S: ciwyukletadxzorqvmpsbfhng	Time: 687516ms
K: 660000	T: 0.34	E: 0.882117	S: unohywckatxpvdsbilfqegrmz	Time: 698061ms
K: 670000	T: 0.33	E: 0.981988	S: escfloyphtarwkzxmbgqvdnui	Time: 708639ms
K: 680000	T: 0.32	E: 0.846853	S: vfmpnasltghbzqoiykurecdxw	Time: 719172ms
K: 690000	T: 0.31	E: 0.892251	S: wkrqxosegbyhdltcumvipazfn	Time: 729820ms
K: 700000	T: 0.3	E: 0.815591	S: lpgtiybauxwszofeqcnmkvhdr	Time: 740335ms
K: 710000	T: 0.29	E: 0.819168	S: oepcizfskaghydmlqvxrtbnwu	Time: 750915ms
K: 720000	T: 0.28	E: 0.902956	S: dvqgozfsnrxwkimtulepacyhb	Time: 761480ms
K: 730000	T: 0.27	E: 0.856165	S: gzoidatnpcbxkmwqhufvyrels	Time: 772052ms
K: 740000	T: 0.26	E: 0.931276	S: lokpvrhtuwfbzaemcqynxsdgi	Time: 782555ms
K: 750000	T: 0.25	E: 0.876398	S: zmrkypcilogbwuesavtdfqhxn	Time: 793071ms
K: 760000	T: 0.24	E: 0.880611	S: feqbdgkzmwhrpyuosnvatilxc	Time: 803635ms
K: 770000	T: 0.23	E: 0.805335	S: cyqedvowulzkftghmxaprisnb	Time: 814169ms
K: 780000	T: 0.22	E: 0.823962	S: laieporybnquxfzckwhdvtsgm	Time: 824768ms
K: 790000	T: 0.21	E: 0.966149	S: sxfumocryazgnidhlevkptbwq	Time: 835320ms
K: 800000	T: 0.2	E: 0.830937	S: xlpdiqfztrvabsmngoyhcwkue	Time: 845901ms
