K: 0	T: 1	E: 0.245667	S: anclusfzvdgoqkribmytewhxp	Time: 0ms
New best: 0.245667	Config: anclusfzvdgoqkribmytewhxp
K: 10000	T: 0.99	E: 0.753788	S: qtfbskpyngricavzowlmxudeh	Time: 10668ms
K: 20000	T: 0.98	E: 0.803762	S: xpqktwamblhsdcgvyrefzunio	Time: 21257ms
K: 30000	T: 0.97	E: 0.797547	S: kbaunfvcqgxhmorwystdiplez	Time: 31916ms
K: 40000	T: 0.96	E: 0.694693	S: mongpyzldkqeiwhvuacrxbtsf	Time: 42477ms
K: 50000	T: 0.95	E: 0.839218	S: omqlusdwkabpxnygzreictfhv	Time: 53004ms
K: 60000	T: 0.94	E: 0.752493	S: osiurpbetvdkghzcqlawnfyxm	Time: 63523ms
K: 70000	T: 0.93	E: 0.771843	S: edlxcgbtkpifnymhrsvzaouqw	Time: 73989ms
K: 80000	T: 0.92	E: 0.754718	S: xuwdtpinraqykmbflsghzevoc	Time: 84450ms
K: 90000	T: 0.91	E: 0.769414	S: fhyzscnplabtmxeqrokigdvwu	Time: 94922ms
K: 100000	T: 0.9	E: 0.732547	S: apgxeswtqdnmkzfuyhlbircvo	Time: 105383ms
K: 110000	T: 0.89	E: 0.759075	S: uwdfoqephxylbzvmcankrsitg	Time: 115849ms
K: 120000	T: 0.88	E: 0.800766	S: xhtpgbemvzsdfklcnawiruoqy	Time: 126377ms
K: 130000	T: 0.87	E: 0.760135	S: zofsicutgexlmyvhnpdwkqarb	Time: 136853ms
K: 140000	T: 0.86	E: 0.796828	S: qpeudyrbasoxltwzkfihgmncv	Time: 147311ms
K: 150000	T: 0.85	E: 0.747213	S: dkzytamipuwvxqoscfbnhlerg	Time: 157788ms
K: 160000	T: 0.84	E: 0.720612	S: yciwlxdqrphmsgtzeunvfaobk	Time: 168261ms
K: 170000	T: 0.83	E: 0.75765	S: zixonpqkswvybmlcehgtfudar	Time: 178715ms
K: 180000	T: 0.82	E: 0.739038	S: mkyndwusaezfbcvloqpxthrig	Time: 189246ms
K: 190000	T: 0.81	E: 0.687166	S: acsliemopwtgunbkyfvxdhqzr	Time: 199843ms
K: 200000	T: 0.8	E: 0.689741	S: ubxlheicatngvwrmdfysopzkq	Time: 210325ms
K: 210000	T: 0.79	E: 0.747518	S: slmzouxphdcngviewkqafbryt	Time: 220802ms
K: 220000	T: 0.78	E: 0.781217	S: wcgxqyisnhfbrdlzmvokuteap	Time: 231287ms
K: 230000	T: 0.77	E: 0.767452	S: oeqfguiwxlctkypsmhdzvbran	Time: 241931ms
K: 240000	T: 0.76	E: 0.718028	S: vieautbsngpoqmhkxwrdfyclz	Time: 252455ms
K: 250000	T: 0.75	E: 0.835859	S: ihuxfrzlnkamtobwdsqecygpv	Time: 262934ms
K: 260000	T: 0.74	E: 0.670955	S: meufdkisngzovxylachwpqtbr	Time: 273439ms
K: 270000	T: 0.73	E: 0.672808	S: hicpovakywrezsqutmflxnbdg	Time: 283972ms
K: 280000	T: 0.72	E: 0.797471	S: esinkwybhqcudzmgtpfloraxv	Time: 294552ms
K: 290000	T: 0.71	E: 0.687579	S: awlhtgyneuovcfbszqxmikdpr	Time: 305135ms
K: 300000	T: 0.7	E: 0.73514	S: homzgetaspicuwbnflrdkqyxv	Time: 315794ms
K: 310000	T: 0.69	E: 0.722587	S: eaqpwtmyldnuoskrvhzxgibfc	Time: 326357ms
K: 320000	T: 0.68	E: 0.797133	S: fykvrolzigbqstcwaeuhdpnmx	Time: 336883ms
K: 330000	T: 0.67	E: 0.780535	S: wghycenxzmpufoavlsridtbkq	Time: 347361ms
K: 340000	T: 0.66	E: 0.691032	S: mfxdztivswpornkqeybhaucgl	Time: 357851ms
K: 350000	T: 0.65	E: 0.747861	S: zfdwmiybseavqhcunoxtlrkpg	Time: 368369ms
K: 360000	T: 0.64	E: 0.872136	S: xuvglrahnfkqbmiswydotecpz	Time: 378810ms
K: 370000	T: 0.63	E: 0.792874	S: lqimvzyturcxgfpdaosnwbehk	Time: 389265ms
K: 380000	T: 0.62	E: 0.674752	S: vcktwynialhsbexfgourmpzdq	Time: 399791ms
K: 390000	T: 0.61	E: 0.786916	S: eocnsqxkfpzbdwltimyuvrahg	Time: 410285ms
K: 400000	T: 0.6	E: 0.659345	S: mwgizykhbxcrvlqtneapufdso	Time: 420831ms
K: 410000	T: 0.59	E: 0.707131	S: bkrcswniougdehayvqxflpzmt	Time: 431548ms
K: 420000	T: 0.58	E: 0.666543	S: fdgvwaplmqhzkyxtcuernsiob	Time: 442166ms
K: 430000	T: 0.57	E: 0.744443	S: nacurvylzgpqxtmbdfeihwkso	Time: 452820ms
K: 440000	T: 0.56	E: 0.732822	S: idkapghsblmetufyovxzrqcnw	Time: 463434ms
K: 450000	T: 0.55	E: 0.767865	S: rqobaglwspvikmnxeyhfcuzdt	Time: 473915ms
K: 460000	T: 0.54	E: 0.803637	S: qxzwfmlkvotyichesargnpbdu	Time: 484359ms
K: 470000	T: 0.53	E: 0.747652	S: fmciyvwpunrdbstkxzqlgoeah	Time: 494780ms
K: 480000	T: 0.52	E: 0.735008	S: lfwcraysieboputngmdqkhzxv	Time: 505326ms
K: 490000	T: 0.51	E: 0.806838	S: iuxpdawzmlocrbefqgvyhtnsk	Time: 515935ms
K: 500000	T: 0.5	E: 0.81566	S: gxsfuotwibkvypnahlcrdqemz	Time: 526549ms
K: 510000	T: 0.49	E: 0.708505	S: omsnkqzdbyhlipxafecvugrtw	Time: 537370ms
K: 520000	T: 0.48	E: 0.848943	S: xqygzuivaldhpconrsetfbmkw	Time: 547992ms
K: 530000	T: 0.47	E: 0.736391	S: vgxrdntmwqohpcsfieauzlkby	Time: 558569ms
K: 540000	T: 0.46	E: 0.692026	S: vwzrdmuioyfbnehlpsqxctagk	Time: 569200ms
K: 550000	T: 0.45	E: 0.711557	S: artncdifkvobpwyqeulxgzsmh	Time: 579746ms
K: 560000	T: 0.44	E: 0.681865	S: vmrbdyznciqokeasugtpwhxfl	Time: 590206ms
K: 570000	T: 0.43	E: 0.730981	S: hfrymwxeqslpacgvdnutzkboi	Time: 600621ms
K: 580000	T: 0.42	E: 0.679911	S: yapmhkoxsuwcqdtlfzgrbevni	Time: 611053ms
K: 590000	T: 0.41	E: 0.730166	S: sieabvqwlxgypmhdcfrnoutkz	Time: 621491ms
K: 600000	T: 0.4	E: 0.784691	S: fhwietuvpnosrxbkdzcaylgqm	Time: 631944ms
K: 610000	T: 0.39	E: 0.757833	S: lcefwbmihznpatguvryoksqdx	Time: 642398ms
K: 620000	T: 0.38	E: 0.712814	S: gnxzyiarpfdtkhqcuwoesbmvl	Time: 652852ms
K: 630000	T: 0.37	E: 0.824115	S: gckrvusnbahwolmtpfzedqxiy	Time: 663294ms
K: 640000	T: 0.36	E: 0.722899	S: tybvowecdufhargpkszilqmxn	Time: 673738ms
K: 650000	T: 0.35	E: 0.775641	S: ihqdxtomfrcweankyvpbgzlus	Time: 684165ms
K: 660000	T: 0.34	E: 0.648342	S: bzdgonuqskylvwxcapemfhrti	Time: 694613ms
K: 670000	T: 0.33	E: 0.819387	S: tsriwmudnpgaqczfyokvebxlh	Time: 705073ms
K: 680000	T: 0.32	E: 0.822062	S: guorvyxzishwnfadmepbqltkc	Time: 715505ms
K: 690000	T: 0.31	E: 0.77574	S: wzelpxgvkymirqdohsnubtfca	Time: 725951ms
K: 700000	T: 0.3	E: 0.763061	S: uxtkzcfqrihymlbvwegdsoapn	Time: 736389ms
K: 710000	T: 0.29	E: 0.895651	S: nzmkbeauyowrltsxigdcfhqpv	Time: 746820ms
K: 720000	T: 0.28	E: 0.7664	S: yebpvqsiwkhafrnxouczgmtdl	Time: 757257ms
K: 730000	T: 0.27	E: 0.699486	S: yfdlvewimkcznrptgaoubsqxh	Time: 767709ms
K: 740000	T: 0.26	E: 0.746687	S: zxwvtagrnsliecbkfdmyoquph	Time: 778152ms
K: 750000	T: 0.25	E: 0.738238	S: xewspdahglfnkcoyvmbqzitur	Time: 788608ms
K: 760000	T: 0.24	E: 0.724055	S: ytbegrqhczdnfiswvxapolkum	Time: 799048ms
K: 770000	T: 0.23	E: 0.775611	S: hzxyduvoiflwqpcmgksbtrena	Time: 809448ms
K: 780000	T: 0.22	E: 0.701838	S: bmioefycharwukpnldgzqvtxs	Time: 819896ms
K: 790000	T: 0.21	E: 0.711852	S: bfcrazxndwmklevhoqsgyptui	Time: 830328ms
K: 800000	T: 0.2	E: 0.762035	S: ulitpmzgyxckawfnveqorsbhd	Time: 840757ms
