/Users/robnoo/Documents/Github/Code-theory-project/src/cmake-build-debug/System Playfair
K: 0	T: 1	E: 0.856866	S: abcdefghikvmnopqrstulwxyz	Time: 1ms
K: 600000	T: 0.4	E: 0.91294	S: qpaurfhtomleizvbkynwcgsxd	Time: 631779ms
K: 610000	T: 0.39	E: 0.928307	S: qmwezbprfksvntyguaxidholc	Time: 642268ms
K: 620000	T: 0.38	E: 0.857941	S: owmdnylgerftuhkzvaibcqspx	Time: 652763ms
K: 630000	T: 0.37	E: 0.86111	S: elzrkumxvpowcfqsnaghydbti	Time: 663269ms
K: 640000	T: 0.36	E: 0.924239	S: fqcesrubmnzvltkaohdpiwgxy	Time: 673759ms
K: 650000	T: 0.35	E: 0.855757	S: cnlrtkpzoahvxeqmfgsibyduw	Time: 684250ms
K: 660000	T: 0.34	E: 0.781431	S: iluokdhzyvqgcfbxsmpwrtena	Time: 694751ms
K: 670000	T: 0.33	E: 0.910045	S: suwlvgihcozmdqkfptrexaybn	Time: 705244ms
K: 680000	T: 0.32	E: 0.871962	S: apxrqmouwgehftsdzyvilkbnc	Time: 715730ms
K: 690000	T: 0.31	E: 0.921601	S: edvfciaoxwgubthmpkrlnsqyz	Time: 726240ms
K: 700000	T: 0.3	E: 0.900759	S: vmoztsprxwadifkbneylcqhug	Time: 736724ms
K: 710000	T: 0.29	E: 0.795021	S: cunhrlzqxkdpvyoftgambsewi	Time: 747214ms
K: 720000	T: 0.28	E: 0.826847	S: trecdslavhnqowbpxgyuifkmz	Time: 757703ms
K: 730000	T: 0.27	E: 0.870047	S: nkbduhloirwyfegvpsmzqaxtc	Time: 768195ms
K: 740000	T: 0.26	E: 0.962387	S: srwedgaovlbknctxzhpymfuqi	Time: 778685ms
K: 750000	T: 0.25	E: 0.880288	S: utmiwnhlsoakpcxqrvygebfdz	Time: 789166ms
K: 760000	T: 0.24	E: 0.909721	S: uavgwkfilmythebxrpqsnocdz	Time: 799663ms
K: 770000	T: 0.23	E: 0.932789	S: ymzwoqehdnxifbgckuslratpv	Time: 810152ms
K: 780000	T: 0.22	E: 0.859179	S: vkzeoyldqtcxghunawrbpsifm	Time: 820645ms
K: 790000	T: 0.21	E: 0.866864	S: plkmiwdonrescbuzvhyqxgfat	Time: 831141ms
K: 800000	T: 0.2	E: 0.987166	S: bpocdqtywurzsxiafgmhlkvne	Time: 841628ms
K: 810000	T: 0.19	E: 0.92946	S: tebpglfnkmvucazshdyrwxioq	Time: 852109ms
K: 820000	T: 0.18	E: 0.822182	S: iabgszrlkqdoytfepmvcnwxhu	Time: 862607ms
K: 830000	T: 0.17	E: 0.873015	S: rgdxbqkvniezmfyslochtpwua	Time: 873116ms
K: 840000	T: 0.16	E: 0.781566	S: irdvmzwklhatogqpuncysefxb	Time: 883601ms
K: 850000	T: 0.15	E: 0.897333	S: ticlbpmwvzuqkgarysxfdnohe	Time: 894095ms
K: 860000	T: 0.14	E: 0.859194	S: bupdwycknfzmxgqtaioehlrsv	Time: 904585ms
K: 870000	T: 0.13	E: 0.870844	S: leqcfkrnmstodyzuabpxhgwiv	Time: 915076ms
K: 880000	T: 0.12	E: 0.892929	S: strbaxkfnphqgvoidzumcyelw	Time: 925585ms
K: 890000	T: 0.11	E: 0.855345	S: qcvgtolmneuyzwdixfpbhkasr	Time: 936209ms
K: 900000	T: 0.1	E: 0.902279	S: atznuxqrecdwfsoimvlhbykpg	Time: 946824ms
K: 910000	T: 0.09	E: 0.926881	S: bizqkumhtwysvegrfpxcdlaon	Time: 957281ms
K: 920000	T: 0.08	E: 0.749726	S: qsdizeapgrmncuwfthobvyklx	Time: 967740ms
K: 930000	T: 0.07	E: 0.90564	S: cimdpoewgukfnqvahrxzstylb	Time: 978182ms
K: 940000	T: 0.06	E: 0.742418	S: saftpmczgyoihwnqrvkldubex	Time: 988639ms
K: 950000	T: 0.05	E: 0.848922	S: skrvoabnuhlwgyedxcfpztiqm	Time: 999154ms
K: 960000	T: 0.04	E: 0.777004	S: oklvbyrxcmnaushwzqtiepdfg	Time: 1009640ms
K: 970000	T: 0.03	E: 0.781644	S: fqdnxetgupmroishvkazwcbly	Time: 1020097ms
K: 980000	T: 0.02	E: 0.734954	S: uicnefvsdlyxrgzhpmowtkbaq	Time: 1030553ms
K: 990000	T: 0.01	E: 0.61255	S: suwiehglomkpxbfcrvanzdytq	Time: 1040916ms
Time: 1048686ms

Process finished with exit code 0
