New best: 0.688829	Config: bwxhoitqmeaflsurdnpgzkyvc
K: 0	T: 1	E: 0.300725	S: bwxhoitqmeaflsurdzpgnkyvc	Time: 1ms
K: 580000	T: 0.42	E: 0.71981	S: efgmnuqyotwhzdiksxpbravcl	Time: 613472ms
K: 590000	T: 0.41	E: 0.728803	S: mtclvdaifwprnbokqszxyheug	Time: 624045ms
K: 600000	T: 0.4	E: 0.715701	S: asiphewogbuyfxdqmvlktcrzn	Time: 634576ms
K: 610000	T: 0.39	E: 0.691614	S: pdoiulxwnkvzqyfbmcehstrga	Time: 645051ms
K: 620000	T: 0.38	E: 0.724328	S: yqobrcignhkeltupvdsazxmwf	Time: 655568ms
K: 630000	T: 0.37	E: 0.774894	S: lkiuratcpsbmzyvnxfwdghoeq	Time: 666063ms
K: 640000	T: 0.36	E: 0.76691	S: fimroktcudvghawqnzlbxeysp	Time: 676549ms
K: 650000	T: 0.35	E: 0.709475	S: daveiblycqmrpfsonkhugtxzw	Time: 686996ms
K: 660000	T: 0.34	E: 0.804885	S: pzlbvqsoumdnetxcirgfhkway	Time: 697490ms
K: 670000	T: 0.33	E: 0.686269	S: ieaofchusyrbtwxgpnmdlzqkv	Time: 708331ms
K: 680000	T: 0.32	E: 0.708617	S: oahktlidrmsubcvfngwpqeyxz	Time: 718956ms
K: 690000	T: 0.31	E: 0.725867	S: bdskfzaiomxtngchyurvqlewp	Time: 729726ms
K: 700000	T: 0.3	E: 0.684558	S: uzotspyvxmnhfgiacqldrbkew	Time: 740306ms
K: 710000	T: 0.29	E: 0.711894	S: eaghroumfcvtikypndlbzqswx	Time: 750854ms
K: 720000	T: 0.28	E: 0.718781	S: dgkqevflhboxzywurpsictamn	Time: 761459ms
K: 730000	T: 0.27	E: 0.67699	S: imlgytapfzhubresownqdcxkv	Time: 772181ms
K: 740000	T: 0.26	E: 0.677911	S: ustiorxbcgaydfmhkveqwzpnl	Time: 782785ms
K: 750000	T: 0.25	E: 0.694536	S: lgiranuhteksbqxpfdmovywzc	Time: 793305ms
K: 760000	T: 0.24	E: 0.773387	S: uastedqmgfoyclpvxzbhnkwir	Time: 803868ms
K: 770000	T: 0.23	E: 0.710031	S: mxfprezhqvacnsyuliogdbtwk	Time: 814390ms
K: 780000	T: 0.22	E: 0.812886	S: qgopulmzcivswybfhdkxenatr	Time: 825097ms
K: 790000	T: 0.21	E: 0.747671	S: oigckdasueqbxlhftyvpznrwm	Time: 835714ms
K: 800000	T: 0.2	E: 0.680142	S: sofctiuhgvxpklzdbwryqenam	Time: 846268ms
K: 810000	T: 0.19	E: 0.669427	S: dqozymhupwrtnbgsaieclkfvx	Time: 856821ms
K: 820000	T: 0.18	E: 0.711014	S: kgcsqdonurzflpyxbvwmethia	Time: 867332ms
K: 830000	T: 0.17	E: 0.660696	S: yhmbvztklwpirqdxouecfasgn	Time: 878016ms
K: 840000	T: 0.16	E: 0.720599	S: dulcaeofqpwtgrbsnivmkhzxy	Time: 888567ms
K: 850000	T: 0.15	E: 0.743752	S: cogsypwenxkhltzufiabrmdqv	Time: 899039ms
K: 860000	T: 0.14	E: 0.72703	S: odimgcrpbazwxqfyvkhleutsn	Time: 909333ms
K: 870000	T: 0.13	E: 0.704924	S: turbnmdpfayvglseiqkowzxhc	Time: 919803ms
K: 880000	T: 0.12	E: 0.708464	S: gmanebrdwpxhtqlzuiofyvsck	Time: 930256ms
K: 890000	T: 0.11	E: 0.706754	S: pxqktblcyodgwzmsfriavnheu	Time: 940829ms
K: 900000	T: 0.1	E: 0.77486	S: phoeubqkzstmxgcfwlyivdnra	Time: 951245ms
K: 910000	T: 0.09	E: 0.646791	S: rqlpvybowzieusfatgnmhckdx	Time: 961744ms
K: 920000	T: 0.08	E: 0.718651	S: ysgrbmetwdlukqvzncxfiapho	Time: 972179ms
K: 930000	T: 0.07	E: 0.48051	S: rtigoznasmxpewuvfdhbyclkq	Time: 982530ms
K: 940000	T: 0.06	E: 0.697502	S: akstniywrpubdmhoqgefcxvlz	Time: 992895ms
K: 950000	T: 0.05	E: 0.751928	S: dvtfiszbnamqcxogrlhupkyew	Time: 1003324ms
K: 960000	T: 0.04	E: 0.544975	S: ioulpabdmsecrvftgnwzhqkyx	Time: 1013105ms
K: 970000	T: 0.03	E: 0.552596	S: ndgoalvbkmhyfcquxpwezrtsi	Time: 1021850ms
K: 980000	T: 0.02	E: 0.351988	S: dlmscfyrgkozbhquxpweivnta	Time: 1029721ms
New best: 0.280745	Config: tybfcsldmkgzrwouxpheivnqa
K: 990000	T: 0.01	E: 0.299314	S: tlmkcrzdfbgyswouxpheivnqa	Time: 1037476ms
Best: 0.280745	Config: tybfcsldmkgzrwouxpheivnqa
Decrypted: ikmtisrltrautuhiiuxwloucphoqseysettrisuieowqanapeonhyntayntmenswcghrgbwsrkauannsyfeiveaporsuiqsarucvtvgziksrfaneevtrasvbeseobchdutvcfsfqpkriganuhobaenbqqfhscyehaeshqeapeiembulrrugbtrmtkrnkbqynfscvxwtwvieteotraneotiswtratlrdhautgqesuilthattrisdamtfintgthietuitrhiqcrtsvpwdhnvrkmhfqerqnhehdrodadhstdahsigvkrthiyqoypikwrbehheycvqydmtsgyoorbqreheigelqgaoondaegdtricneadadsiezdravmmtsesisruikgrbehhekrvnthettrisdaritprobpkikildealrhetidawskwdlozqeritmnsyfvbehdaihaptidaorzdnagssgbunkikwkbanphekggiehgfntcvlyenromhvoapfrorphoquzuruisiafoenbshetbqyikdeiwaisienclomhvoapfroraexwbwpiptqbqgehhrubiebnqkncurpishqeiktrmtictmvuikisqkhenevkzuleniteegmhngnstoneazdlozqeiuaytrishetrhidkestgcyuoehyehoonqeganewtegcewsrkauasdhgkdanerkrusaqesgpttrisdacunabgevenrepthoeoucrimtpiptwslrortaeadawpucpipticynfsgncdtethemaeygikbqfrtrisdacgihetiqtrwkrexrshtmxnnatgisesofritreicyrouovnsftayntmenbawsihilcdipbwuiaptierqnosmttalwapycegeaubeincdarunsabofdaehbguqvboivbfauzismtbqtnagabeowqaomtdagaxrshethdtmqeseurtmqeseniteegorbasnihuieowqanapswsgzkashdknhewslrhddktvtroniupthopiwgrisidkhetreouwhdonzkhsbmruiyuroqcuoesixqsabntranniteegwkbanphekrvnthetbqyikdadoqcuhuonbafskiihfsnamhngnstoneiorikiagtreochqeswbqyqegvweowrheswtranmttrisbqitatqcoenteasreoemhietatqcnpnentehtarutcapmhnkgsbfubnkikmttvvwthaflotrisdagaalgsthepfmvcikruheswtranapdtdaihwsihmhngnsmgmtikbqgaynfsenuidafinatmtaehhrifcutmenwsrkrifoonapdtdacqgzyqhowrhdmhnghotapttranyetrantaywatuzukxuhiridfiqxwpmatkixwpmeaaedshduimhavihuiriptfsnauiapmhstdaxnwkdiqeseinqcrtthafmhnkdabacyswtrvnegfoniteegmhvssgfraekweicarkvqepelqgadginiybegqnumpinkeynkgtenrohfeaehdtubpihutreocerfgehdtgpavwnezvuzehcierapriqftuecdhevpdigvkrthiynybqnvkrtorcqtvfmhitreochqeswdadhevbavafoeosncdcutaiuqoganruineorstehgncdbavafoortreowiumnkniteegmhngnskiptvbetwraptivbanrbeowqaouzehdafinatmncrodaheqcxponxdhrgbikmtreihtrapieqecgashdqvynsnihmhpbnkfintgthimhlrigvkrthifsepofbqhpuzisapatsimpmtbhehkioionzdbawsdhheswtrantmwghtthagapdzgiolpkuiegeteahiilhedtrwerhiesmhncrisiytfiautshdeocehegeloonphoqtraouttmcnenvcfinadleoteetmhngnsowswhdikiqxwpmeiwasftmmpashdnsoruttmtrlikdmhlsenromhavihfmhibsrldpoznssnihlogtegathowkdiqeselzhtpmvthiomsgdtsfvbaoonaptgiqxwbmehigsagoeoatyemhnkgfynsnihbqrelqelpirkocentancorbqyqegvweokebqcdvthidacdhrsfatswtrechsbmtronemlinsfrtrdhiqpawrgbqolywskwoliksresxixlgtathsaooniqxwzdensfpkrtbqqethxvxlmtnesidiyfeaaerkrincdarodadlaptgagsnihybeitnroritwfsriptfsnauiqvhenexdgsfqrwhrgbdvrelretuilotgibnkmhavihgsicaycqutqedarkdahfashiehcatraoritvneheswtrangncdorihfixnnapttranihwpieydeadaohihgsbmhtloaptgeqhdapsrhcqntrhicqgzcfnkthxvxlriynfsnatreocwhdqnmdaqmaheyncyrinrhitmcyhiyqrbehhetroqcuhuonibnsaoondhevcdhtyleheosncdcihomhnkuoetesqcrteotvivqenamhvdqgehiferrayntmenenninhhdhelwatmhngmtsiafnaniteegqbqgpibqemihfdactshdmhlrhelwattraoeganmhzdsdiepttmritvdaegyoonnancqkncdazaikdcentmtegekientrateacvnclvoaegiusrpicyirmhlsenrophoquzismtvssarbnkqbhnaooniqxwqweafmhiikapdztueasfvbanaplvmhaucwehswwslrtroniupthopinmereincrodaheqcxponxdhrgbikiqxwpmehontaornskdoiehfosncdybonzdfinatmpcaooniqxwperouttmfrtrantenvptpdenikniteegtrisuzehtrhipiihoiehfoqihtywmtiktrangsbwrbehheoiuifsgbigilrflrqnmdaqmararkyniunmuikicdngonxrihtalwpiptcuhfukearifrtrvbvbnvshehcaswtrihpiptoiehfooaegybgibaeheosnxqdkkuehfrorgaafbqyikdgupthicyapydmtcdegucaexdhiilpticmbatitkddkkprsortetvozdfdaiciuqoganelqpiuapthicyaptgqethfrsreiquhdgakienapslpchisieoaewahiuzehybvcuitgbsenaencetybasapkuetdadlesuqhimfnstrabnseoatfsoshithsaiccyrweadalyvaemaedlgaxrshetikynfssgcaictqmtikeogcptheiy
Time: 1045175ms
