K: 0	T: 1	E: 0.245667	S: anclusfzvdgoqkribmytewhxp	Time: 1ms
K: 600000	T: 0.4	E: 0.728099	S: awdmoyvxzgkrcsfiuteplnqhb	Time: 626793ms
K: 610000	T: 0.39	E: 0.65982	S: vnwtazgdpecimoufshklybrxq	Time: 637384ms
K: 620000	T: 0.38	E: 0.761745	S: tipgdenfhlbuwmzkarsyvcqxo	Time: 647815ms
K: 630000	T: 0.37	E: 0.718765	S: lkzbxryompadetunsgciwfvhq	Time: 658479ms
K: 640000	T: 0.36	E: 0.7564	S: yieslmftpbdgwrvcuonazhqkx	Time: 669045ms
K: 650000	T: 0.35	E: 0.623484	S: cnstfpvrbdyxqzkemglhawiuo	Time: 679477ms
K: 660000	T: 0.34	E: 0.649356	S: umqlodzxkyisfbvacpewntrgh	Time: 690062ms
K: 670000	T: 0.33	E: 0.728019	S: qdohxmsgcvewzkyrftblanpiu	Time: 700642ms
K: 680000	T: 0.32	E: 0.705071	S: hyvqwbrptockfmnugxladizse	Time: 711155ms
K: 690000	T: 0.31	E: 0.679999	S: rdnzqgvwxletaucpsobkmfihy	Time: 721723ms
K: 700000	T: 0.3	E: 0.698745	S: agrsmphdwcyoekqbnifvzutxl	Time: 732232ms
K: 710000	T: 0.29	E: 0.70466	S: fuxrdvhlwbikystmapczengqo	Time: 742682ms
K: 720000	T: 0.28	E: 0.497074	S: tkesqiyauozvdbpmxhfwclnrg	Time: 753363ms
K: 730000	T: 0.27	E: 0.647585	S: mauoszibcryglwvkexdnhtpqf	Time: 763881ms
K: 740000	T: 0.26	E: 0.721355	S: rzeavpfinsdxhmgwyktcublqo	Time: 774416ms
K: 750000	T: 0.25	E: 0.69831	S: eqxiwyhmtkcudnsvzfprglbao	Time: 784977ms
K: 760000	T: 0.24	E: 0.702505	S: vzlybasfnekpgirmhdtuwcxqo	Time: 795483ms
K: 770000	T: 0.23	E: 0.67799	S: sirubtgfehkxylznapcvwmdoq	Time: 806164ms
K: 780000	T: 0.22	E: 0.631609	S: gsdmvieuobwqrhypkzlxntcaf	Time: 816574ms
K: 790000	T: 0.21	E: 0.754577	S: pkxoeargctlmhduyqbznwvfsi	Time: 827019ms
K: 800000	T: 0.2	E: 0.710076	S: riamuhnckbdtqzyswlxpgevof	Time: 837389ms
K: 810000	T: 0.19	E: 0.71201	S: kfobzldutqmhcgswypxvarnei	Time: 847819ms
K: 820000	T: 0.18	E: 0.682639	S: omudikstpcyzrwqhgabvenfxl	Time: 858126ms
K: 830000	T: 0.17	E: 0.740908	S: srbfytuqeocndaziklmvhgpwx	Time: 868474ms
K: 840000	T: 0.16	E: 0.672174	S: lvxzybongqhmwrsuitaefdkpc	Time: 878863ms
K: 850000	T: 0.15	E: 0.566359	S: brxfdsgymehzvqkwplituncoa	Time: 889272ms
K: 860000	T: 0.14	E: 0.65558	S: hmbceqxdlkfvyzwtpirgasnuo	Time: 899661ms
K: 870000	T: 0.13	E: 0.682664	S: xlzbwyghcdouvtaksmpqnifer	Time: 910044ms
K: 880000	T: 0.12	E: 0.684666	S: aupnowhrdbxyzfkqtvilmsceg	Time: 920373ms
K: 890000	T: 0.11	E: 0.639049	S: fmxhcqngztlwyvdborkeaupsi	Time: 930774ms
K: 900000	T: 0.1	E: 0.671627	S: iekntsbwdporcuavqxyzgflmh	Time: 941150ms
K: 910000	T: 0.09	E: 0.604027	S: mbvnrcwqtgfxhesoyzplikdau	Time: 951519ms
K: 920000	T: 0.08	E: 0.652407	S: qfzrymkxocdvlngewhpsitbua	Time: 961550ms
K: 930000	T: 0.07	E: 0.625397	S: hqvyxpregbonmdfautcszlwik	Time: 971797ms
K: 940000	T: 0.06	E: 0.606068	S: mgxlstioudcakbpwnrvzyeqhf	Time: 981951ms
K: 950000	T: 0.05	E: 0.643851	S: czsdufxihqpvnwlgyetamkrbo	Time: 992039ms
K: 960000	T: 0.04	E: 0.484782	S: tqlhvdkpszmongwrxbfyaeuic	Time: 1002366ms
K: 970000	T: 0.03	E: 0.50906	S: wbxhqtgfsacvyridlzuepokmn	Time: 1011347ms
K: 980000	T: 0.02	E: 0.300518	S: bwxhoidqtaupzserfymgnklvc	Time: 1019378ms
New best: 0.239834	Config: bwxhoitqpeudlsarfymgnkzvc
New best: 0.235005	Config: bwxhoitqpeumlsarfydgnkzvc
New best: 0.225966	Config: bwxhoitqpeumlsarfzdgnkyvc
New best: 0.206224	Config: bwxhoitqpeumlsardzfgnkyvc
New best: 0.196523	Config: bwxhoitqmeaflsurdzpgnkyvc
K: 990000	T: 0.01	E: 0.236359	S: bwxhoncqpeaflsurvydgtkzmi	Time: 1026999ms
Best: 0.196523	Config: bwxhoitqmeaflsurdzpgnkyvc
Decrypted: ullaeddroremamleiexpydmiombfcfqfegoredeiuiwsetciuimzhnnehnalrsepewdhdipewgemettronsulbcidorensntpznlnqdgulrpyesrblortnckfcuitwshmalniqtstgrcbemrtovcrsakstseiweonuessbcisuwvmdrdpzdiorlagwfrakhniqnlxpudcyeguioretuifmeporenrdhsemlssbrepmasenorednclaitbnslleegeiorleuaroaqbphsiywgxttsghlioeshodnchspuncseefufroleskgyacehzreooewirixalaueygdoakhgoeefwytbgoaincecahrcniunncqsuszabcxqlacfderpeiuhzreooegwyiasegoredncrcoaodrkluluptunrdoefmncpeehtppgsbrcaltronckeoncelcifmncdozateeuuemdfrulhevcnroeuhfeeokwbnnllqrsodxtlrciobdoombfozzpeideeyiuwresegakmkmhsuxeedusinydxtlrciobdonuxpadacaokatbeodhdmusrwsiinzpacessbulorlafialqbuledsioesrufzoywmygeecxtbatrgusrchtppgsbieyvoredoeorlehmfclsiwoueoyotoaisbbesrduecnfpewgemtnhshuncsrwgpzntsbueaooredncimteidblrshgaotouimirclaacaoperddoneunncpbmiacaofihniqabwngeaswvnuqdulakoboredncewelegnsorhehgzdesalsptelsedfcokrcorsuiwodouyiqinehnalrsvcpeelpmwncaadeicifmghlidclaneqpciwiecundmsuinncpztrcvoknceoidbmckruckyeozedlaaknbebcvuiwsgolancbezdesegshalsbcfzpalsbcfmygeecdovcrteleiuiwsetciepuexutnshrfoeperdshhmnqoraiieaotoacxgrcdehmoeoruiopshaixusetfpzkmzpbfimiudevpntrworetmygeechevcnroegwyiasegakmkmhcnbfimqoaivciqlueliqtextbatrgusrurrclueboruiutsbepakskecxluihboeeporetlaoredakmfenuaiubnunrpuiwvleegenuanrsrbneonepzkqcixtfreuukdmfrullanqxlaseyydoredncbeyneuassothlnulpzoeeporetciahncelpeelxtbatrfhlaulakbehniqrseincittealneeodhtiimalrspewgrckoaiciahncaudgsktohbshxtbatoneaooretyooretneldenozmuzhlercihnsxpwpenluxpwpunnuqssheixtbreleircaoiqteeicixtpuncspheavsbcfymuaroaseyxtfrncvciweporyieckomygeecxtqaueobnuehsunvwgrisowytbcnfemywaeclivmacfroyfrslrsodtquneoahdmacqooruinfboceshlsicxlsryzozeoifghcircstamfnhsblraefufrolehnwaliufrodoaunqthleoruiutsbepnchsblvcrbkouirtwnimneiefbbehreisrdopueoabwnvcrbkodooruizevmfrmygeecxtbatrluaockeghbcifmcketzruiwsgoozeoncittealinodncoeuasvaizsdhdiullahgelorciussbewtnshirhnrtelxtkrfritbnsllextrdefufroleiqsookakmoozedciendepwlasdeoluruaizavcpehsoeeporetalxgsaasebciazfedytgeiecegunlepmoeahbhghlefcxtinrcdexnitemupshuinfoeceydaiombforgomaalnirslnittetpuigeegxtbatrucepshulnsxpwpsuxeqialpwtnshtrdomaalormpmhxtzfrsodxtbrelthlewfdrarpgtrrtelydslecentoheavsbcflysawpqnlekdueahqickgoaicilsnsxptfeoefntdpuienyoxtfrkwhnrtelakhghpwyacwgtcrsneindoakskecxluibuakwnqnlencwndhqieneporfnsetforaiwvmptroborhsnsichbdifblqpeehdyulrpfcscypslensegoainsxpzarsqitgroaksbasykyplasrdeavonunnuwgrcinncodnctpcilsebrtelwasunbodrcudiqrcaoiqteeiiroesrzseutsbhdhdiayhgrdegeiydlskifrxtbreleufiyvaumasbncwgnctqtnleeonvorgorcnqsroeeporetabwndoelitspteaooretelpbusxaunncoteleutfsaydcilsbsshcirptuliorleaudgekfrasykyprchniqteoruiuwshlivtbiytoehniwrchrlealiwleskzreooeorbfimqoaikitrgoaihsblwnsaqleouirtwniftoxtfrouegfcuarouinqycsbtextyatbeotighbchnalrsrsmymzshoeqpenxtbaladeeytemygeeckatbacakwvelhivnupshxtrdoeqpenorgoecetxtzasqusaoalrcnqncecygaiteinsiinnchculnwrsalgecelursorenunnlinlzogecierpaciwcrxtzfrsodombfozedlaqantzrfrkazmgoainsxpswunthleulciazamunqicketcilzxtemuweoepperdoraiieaotoactzghsuinodncoeuasvaizsdhdiulnsxpwpeoainedotrmhrueokortwnwaaizaittealiogoainsxposodmaaloboretgeiyaorarsulmygeecoredozeoorleacelrueokosnsaldlauloreteuadzreooerueiiqdiefpmbordlivtbiytbcwghnietzeiluwnbaaizdelneqpacaoimtqmuunrcoborckckiyeseonveporelacaorueokoogecwafevceouirtvphmumeoobdobeeyakmkmhaeaoleiwcixalawnecminuzslepmaofiftenmfmhhmgtprdogenqpgihncfiiefbbesrhpacmeaoleiwcilssbasobrpsumbshbelurscifzioledeuinuxeleozeowalneilswfrsnuinegwatnciumegnctpfcbmlehttrorcvtruieniqdcleasntfiiwbhunnclqrbwvnutpbezdesegulhniquenvfiatlauluiweaooekm
Time: 1034594ms
